films,replacement_cost,rental_rate,rating,Rental_amount,Rental_Quantity,Category_name
"EARLY HOME",27.99,4.99,NC-17,41.93,7,Animation
"FALCON VOLUME",21.99,4.99,PG-13,127.77,22,Animation
"FIGHT JAWBREAKER",13.99,0.99,R,59.78,22,Animation
"FLYING HOOK",18.99,2.99,NC-17,83.80,20,Animation
"FORRESTER COMANCHEROS",22.99,4.99,NC-17,146.73,27,Animation
"GANGS PRIDE",27.99,2.99,PG-13,112.73,27,Animation
"GHOSTBUSTERS ELF",18.99,0.99,R,11.91,9,Animation
"HARPER DYING",15.99,0.99,G,77.80,20,Animation
"HOOK CHARIOTS",23.99,0.99,G,17.87,13,Animation
"HORN WORKING",23.99,2.99,PG,112.76,24,Animation
"INCH JET",18.99,4.99,NC-17,95.82,18,Animation
"INSECTS STONE",14.99,0.99,NC-17,36.81,18,Animation
"INTENTIONS EMPIRE",13.99,2.99,PG-13,78.83,17,Animation
"ISHTAR ROCKETEER",24.99,4.99,R,51.93,7,Animation
"JUGGLER HARDLY",14.99,0.99,PG-13,96.68,32,Animation
"LAWLESS VISION",29.99,4.99,G,86.84,17,Animation
"LUKE MUMMY",21.99,2.99,NC-17,28.93,7,Animation
"MASSAGE IMAGE",11.99,2.99,PG,59.88,12,Animation
"MENAGERIE RUSHMORE",18.99,2.99,G,21.93,7,Animation
"MIRACLE VIRTUAL",19.99,2.99,PG-13,44.91,9,Animation
"MISSION ZOOLANDER",26.99,4.99,PG-13,126.82,18,Animation
"NASH CHOCOLAT",21.99,2.99,PG-13,64.85,15,Animation
"OSCAR GOLD",29.99,2.99,PG,83.75,25,Animation
"OZ LIAISONS",14.99,2.99,R,95.76,24,Animation
"PACKER MADIGAN",20.99,0.99,PG-13,60.78,22,Animation
"POND SEATTLE",25.99,2.99,PG-13,64.81,19,Animation
"POTLUCK MIXED",10.99,2.99,G,49.89,11,Animation
"POTTER CONNECTICUT",16.99,2.99,PG,72.83,17,Animation
"PRIDE ALAMO",20.99,0.99,NC-17,18.84,16,Animation
"PUNK DIVORCE",18.99,4.99,PG,46.92,8,Animation
"ROOM ROMAN",27.99,0.99,PG,29.80,20,Animation
"SLEEPLESS MONSOON",12.99,4.99,G,121.80,20,Animation
"SNOWMAN ROLLERCOASTER",27.99,0.99,G,72.77,23,Animation
"SONS INTERVIEW",11.99,2.99,NC-17,79.84,15,Animation
"STORM HAPPINESS",28.99,0.99,NC-17,46.71,29,Animation
"SUGAR WONKA",20.99,4.99,PG,105.83,17,Animation
"SUNRISE LEAGUE",19.99,4.99,PG-13,170.76,24,Animation
"TELEMARK HEARTBREAKERS",9.99,2.99,PG-13,91.75,25,Animation
"THEORY MERMAID",9.99,0.99,PG-13,30.88,11,Animation
"THIEF PELICAN",28.99,4.99,PG-13,117.81,19,Animation
"TITANIC BOONDOCK",18.99,4.99,R,154.77,23,Animation
"TRACY CIDER",29.99,0.99,G,85.74,26,Animation
"TURN STAR",10.99,2.99,G,70.86,14,Animation
"WAIT CIDER",9.99,0.99,PG-13,83.79,21,Animation
"WATCH TRACY",12.99,0.99,PG,34.84,16,Animation
"WONKA SEA",24.99,2.99,NC-17,66.82,18,Animation
"BACKLASH UNDEFEATED",24.99,4.99,PG-13,158.81,19,Children
"BEAR GRACELAND",20.99,2.99,R,107.78,22,Children
"BENEATH RUSH",27.99,0.99,NC-17,16.90,10,Children
"BETRAYED REAR",26.99,4.99,NC-17,91.85,15,Children
"CABIN FLASH",25.99,0.99,NC-17,40.85,15,Children
"CASPER DRAGONFLY",16.99,4.99,PG-13,52.92,8,Children
"CHRISTMAS MOONSHINE",21.99,0.99,NC-17,28.79,21,Children
"CIRCUS YOUTH",13.99,2.99,PG-13,60.85,15,Children
"CLOCKWORK PARADISE",29.99,0.99,PG-13,11.90,10,Children
"COMANCHEROS ENEMY",23.99,0.99,R,9.94,6,Children
"CROOKED FROGMEN",27.99,0.99,PG-13,41.77,23,Children
"DAUGHTER MADIGAN",13.99,4.99,PG-13,69.91,9,Children
"DOCTOR GRAIL",29.99,2.99,G,34.93,7,Children
"EMPIRE MALKOVICH",26.99,0.99,G,30.79,21,Children
"FARGO GANDHI",28.99,2.99,G,111.76,24,Children
"FOREVER CANDIDATE",28.99,2.99,NC-17,43.87,13,Children
"FULL FLATLINERS",14.99,2.99,PG,16.95,5,Children
"FURY MURDER",28.99,0.99,PG-13,63.81,19,Children
"GHOST GROUNDHOG",18.99,4.99,G,119.79,21,Children
"GIANT TROOPERS",10.99,2.99,R,106.72,28,Children
"GORGEOUS BINGO",26.99,2.99,R,105.81,19,Children
"GRADUATE LORD",14.99,2.99,G,52.84,16,Children
"HALL CASSIDY",13.99,4.99,NC-17,98.84,16,Children
"HEARTBREAKERS BRIGHT",9.99,4.99,G,132.80,20,Children
"HOLLYWOOD ANONYMOUS",29.99,0.99,PG,13.87,13,Children
"HOLOCAUST HIGHBALL",12.99,0.99,R,25.83,17,Children
"IDOLS SNATCHERS",29.99,2.99,NC-17,114.70,30,Children
"INVASION CYCLONE",12.99,2.99,PG,103.73,27,Children
"JERSEY SASSY",16.99,4.99,PG,39.94,6,Children
"JUMPING WRATH",18.99,0.99,NC-17,79.76,24,Children
"LABYRINTH LEAGUE",24.99,2.99,PG-13,47.85,15,Children
"LANGUAGE COWBOY",26.99,0.99,NC-17,19.89,11,Children
"LEGALLY SECRETARY",14.99,4.99,PG,46.91,9,Children
"MAGIC MALLRATS",19.99,0.99,PG,17.93,7,Children
"MAKER GABLES",12.99,0.99,PG-13,32.90,10,Children
"MICROCOSMOS PARADISE",22.99,2.99,PG-13,46.87,13,Children
"MODEL FISH",11.99,4.99,NC-17,93.85,15,Children
"MURDER ANTITRUST",11.99,2.99,PG,84.77,23,Children
"NOON PAPI",12.99,2.99,G,68.83,17,Children
"POLISH BROOKLYN",12.99,0.99,PG,24.82,18,Children
"ROBBERS JOON",26.99,2.99,PG-13,105.69,31,Children
"SABRINA MIDNIGHT",11.99,4.99,PG,126.79,21,Children
"SANTA PARIS",23.99,2.99,PG,33.89,11,Children
"SCARFACE BANG",11.99,4.99,PG-13,120.82,18,Children
"SHEPHERD MIDSUMMER",14.99,0.99,R,32.75,25,Children
"SPLENDOR PATTON",20.99,0.99,R,40.79,21,Children
"STRANGELOVE DESIRE",27.99,0.99,NC-17,86.76,24,Children
"STRANGER STRANGERS",12.99,4.99,G,75.89,11,Children
"SUNDANCE INVASION",21.99,0.99,NC-17,41.81,19,Children
"SWEETHEARTS SUSPECTS",13.99,0.99,G,98.71,29,Children
"TEQUILA PAST",17.99,4.99,PG,32.94,6,Children
"TIES HUNGER",28.99,4.99,R,80.89,11,Children
"TOOTSIE PILOT",10.99,0.99,PG,39.85,15,Children
"TWISTED PIRATES",23.99,4.99,PG,66.89,11,Children
"UPTOWN YOUNG",16.99,2.99,PG,38.88,12,Children
"WARLOCK WEREWOLF",10.99,2.99,G,21.94,6,Children
"WRONG BEHAVIOR",10.99,2.99,PG-13,62.80,20,Children
"ZOOLANDER FICTION",28.99,2.99,R,73.83,17,Children
"ARIZONA BANG",28.99,2.99,PG,104.79,21,Classics
"BEAST HUNCHBACK",22.99,4.99,R,76.89,11,Classics
"BOUND CHEAPER",17.99,0.99,PG,50.76,24,Classics
"CANDIDATE PERDITION",10.99,2.99,R,96.81,18,Classics
"CENTER DINOSAUR",12.99,4.99,PG,137.76,24,Classics
"COLOR PHILADELPHIA",19.99,2.99,G,93.76,24,Classics
"CONSPIRACY SPIRIT",27.99,2.99,PG-13,16.95,5,Classics
"CORE SUIT",24.99,2.99,PG-13,103.82,18,Classics
"CREEPERS KANE",23.99,4.99,NC-17,82.86,14,Classics
"CRUELTY UNFORGIVEN",29.99,0.99,G,7.93,7,Classics
"DETECTIVE VISION",16.99,0.99,PG-13,68.73,27,Classics
"DRACULA CRYSTAL",26.99,0.99,G,24.79,21,Classics
"DYNAMITE TARZAN",27.99,0.99,PG-13,62.75,25,Classics
"EXTRAORDINARY CONQUERER",29.99,2.99,G,22.94,6,Classics
"FROST HEAD",13.99,0.99,PG,76.70,30,Classics
"GALAXY SWEETHEARTS",13.99,4.99,R,115.82,18,Classics
"GILBERT PELICAN",13.99,0.99,G,17.91,9,Classics
"GILMORE BOILED",29.99,0.99,R,64.72,28,Classics
"HOLY TADPOLE",20.99,0.99,R,18.91,9,Classics
"HOPE TOOTSIE",22.99,2.99,NC-17,75.82,18,Classics
"HYDE DOCTOR",11.99,2.99,G,104.73,26,Classics
"IRON MOON",27.99,4.99,PG,55.89,11,Classics
"ISLAND EXORCIST",23.99,2.99,NC-17,85.74,26,Classics
"JEEPERS WEDDING",29.99,2.99,R,86.84,16,Classics
"JEOPARDY ENCINO",12.99,0.99,R,28.90,10,Classics
"JERK PAYCHECK",13.99,2.99,NC-17,107.80,20,Classics
"JINGLE SAGEBRUSH",29.99,4.99,PG-13,70.87,13,Classics
"LEAGUE HELLFIGHTERS",25.99,4.99,PG-13,105.83,17,Classics
"LIGHTS DEER",21.99,0.99,R,9.92,8,Classics
"LOATHING LEGALLY",29.99,0.99,R,63.73,27,Classics
"LOVELY JINGLE",18.99,2.99,PG,65.86,14,Classics
"LOVER TRUMAN",29.99,2.99,G,62.90,10,Classics
"MAGNIFICENT CHITTY",27.99,2.99,R,54.92,8,Classics
"MALKOVICH PET",22.99,2.99,G,84.74,26,Classics
"MILLION ACE",16.99,4.99,PG-13,130.80,20,Classics
"MUSKETEERS WAIT",17.99,4.99,PG,92.83,17,Classics
"OCTOBER SUBMARINE",10.99,4.99,PG-13,63.89,11,Classics
"PAJAMA JAWBREAKER",14.99,0.99,R,39.86,14,Classics
"PATIENT SISTER",29.99,0.99,NC-17,24.81,19,Classics
"PREJUDICE OLEANDER",15.99,4.99,PG-13,115.80,20,Classics
"REQUIEM TYCOON",25.99,4.99,R,110.81,19,Classics
"RIGHT CRANES",29.99,4.99,PG-13,52.90,10,Classics
"ROOTS REMEMBER",23.99,0.99,PG-13,42.83,17,Classics
"SLING LUKE",10.99,0.99,R,14.94,6,Classics
"SNATCHERS MONTEZUMA",14.99,2.99,PG-13,37.91,9,Classics
"SPIKING ELEMENT",12.99,2.99,G,41.87,13,Classics
"STEEL SANTA",15.99,4.99,NC-17,141.77,23,Classics
"SUMMER SCARFACE",25.99,0.99,G,34.84,16,Classics
"TIMBERLAND SKY",13.99,0.99,G,123.69,31,Classics
"TOMORROW HUSTLER",21.99,2.99,R,110.75,25,Classics
"TOWERS HURRICANE",14.99,0.99,NC-17,12.89,11,Classics
"VOYAGE LEGALLY",28.99,0.99,PG-13,48.72,28,Classics
"WASTELAND DIVINE",18.99,2.99,PG,49.85,15,Classics
"WESTWARD SEABISCUIT",11.99,0.99,NC-17,37.74,26,Classics
"AIRPLANE SIERRA",28.99,4.99,PG-13,82.85,15,Comedy
"ANTHEM LUKE",16.99,4.99,PG-13,85.85,15,Comedy
"BRINGING HYSTERICAL",14.99,2.99,PG,71.80,20,Comedy
"CAPER MOTIONS",22.99,0.99,G,38.76,24,Comedy
"CAT CONEHEADS",14.99,4.99,G,181.70,30,Comedy
"CLOSER BANG",12.99,4.99,R,172.72,28,Comedy
"CONNECTION MICROCOSMOS",25.99,0.99,G,10.93,7,Comedy
"CONTROL ANTHEM",9.99,4.99,G,36.93,7,Comedy
"CRAZY HOME",24.99,2.99,PG,26.91,9,Comedy
"DADDY PITTSBURGH",26.99,4.99,G,75.87,13,Comedy
"DOOM DANCING",13.99,0.99,R,73.79,21,Comedy
"DOWNHILL ENOUGH",19.99,0.99,G,84.75,25,Comedy
"DYING MAKER",28.99,4.99,PG,93.83,17,Comedy
"ELEMENT FREDDY",28.99,4.99,NC-17,56.90,10,Comedy
"FERRIS MOTHER",13.99,2.99,PG,79.83,17,Comedy
"FIREBALL PHILADELPHIA",25.99,0.99,PG,60.79,21,Comedy
"FLINTSTONES HAPPINESS",11.99,4.99,PG-13,134.83,17,Comedy
"FREEDOM CLEOPATRA",23.99,0.99,PG-13,5.95,5,Comedy
"GOLD RIVER",21.99,4.99,R,94.86,14,Comedy
"GROUNDHOG UNCUT",26.99,4.99,PG-13,102.82,18,Comedy
"GUNFIGHT MOON",16.99,0.99,NC-17,55.76,24,Comedy
"HEAVEN FREEDOM",19.99,2.99,PG,58.82,18,Comedy
"HEDWIG ALTER",16.99,2.99,NC-17,37.88,12,Comedy
"HURRICANE AFFAIR",11.99,2.99,PG,85.76,24,Comedy
"HUSTLER PARTY",22.99,4.99,NC-17,190.78,22,Comedy
"JAWS HARRY",10.99,2.99,G,63.86,14,Comedy
"KNOCK WARLOCK",21.99,2.99,PG-13,116.76,24,Comedy
"LIFE TWISTED",9.99,2.99,NC-17,44.90,10,Comedy
"LION UNCUT",13.99,0.99,PG,34.82,18,Comedy
"LONELY ELEPHANT",12.99,2.99,G,77.85,15,Comedy
"MALLRATS UNITED",25.99,0.99,PG,77.75,25,Comedy
"MEMENTO ZOOLANDER",11.99,4.99,NC-17,88.87,13,Comedy
"MULAN MOON",10.99,0.99,G,36.87,13,Comedy
"MYSTIC TRUMAN",19.99,0.99,NC-17,19.90,10,Comedy
"OPERATION OPERATION",23.99,2.99,G,87.73,27,Comedy
"PARADISE SABRINA",12.99,2.99,PG-13,79.82,18,Comedy
"PARTY KNOCK",11.99,2.99,PG,44.87,13,Comedy
"PERFECT GROOVE",17.99,2.99,PG-13,57.83,17,Comedy
"PINOCCHIO SIMON",21.99,4.99,PG,133.80,20,Comedy
"PURE RUNNER",25.99,2.99,NC-17,92.84,16,Comedy
"RUSHMORE MERMAID",17.99,2.99,PG-13,18.94,6,Comedy
"SADDLE ANTITRUST",10.99,2.99,PG-13,42.86,14,Comedy
"SATURN NAME",18.99,4.99,R,70.87,13,Comedy
"SEARCHERS WAIT",22.99,2.99,NC-17,75.86,14,Comedy
"SNATCH SLIPPER",15.99,4.99,PG,127.78,22,Comedy
"STAGE WORLD",19.99,2.99,PG,46.90,10,Comedy
"STRICTLY SCARFACE",24.99,2.99,PG-13,113.77,23,Comedy
"SUBMARINE BED",21.99,4.99,R,88.85,15,Comedy
"SWEDEN SHINING",19.99,4.99,PG,111.81,18,Comedy
"TRAINSPOTTING STRANGERS",10.99,4.99,PG-13,58.89,11,Comedy
"TRAMP OTHERS",27.99,0.99,PG,47.80,20,Comedy
"VALLEY PACKER",21.99,0.99,G,58.85,15,Comedy
"VELVET TERMINATOR",14.99,4.99,R,177.74,26,Comedy
"VERTIGO NORTHWEST",17.99,2.99,R,37.92,8,Comedy
"WISDOM WORKER",12.99,0.99,R,29.91,9,Comedy
"ZORRO ARK",18.99,4.99,NC-17,214.69,31,Comedy
"ACADEMY DINOSAUR",20.99,0.99,PG,36.77,23,Documentary
"ADAPTATION HOLES",18.99,2.99,NC-17,37.88,12,Documentary
"ARMY FLINTSTONES",22.99,0.99,R,41.84,16,Documentary
"BEACH HEARTBREAKERS",16.99,2.99,G,64.83,17,Documentary
"BED HIGHBALL",23.99,2.99,NC-17,24.94,6,Documentary
"BILL OTHERS",12.99,2.99,PG,67.81,19,Documentary
"BONNIE HOLOCAUST",29.99,0.99,G,32.84,16,Documentary
"BROTHERHOOD BLANKET",26.99,0.99,R,101.74,26,Documentary
"CAUSE DATE",16.99,2.99,R,128.79,21,Documentary
"CHICKEN HELLFIGHTERS",24.99,0.99,PG,68.78,22,Documentary
"CIDER DESIRE",9.99,2.99,PG,62.81,19,Documentary
"CLERKS ANGELS",15.99,4.99,G,50.93,7,Documentary
"COAST RAINBOW",20.99,0.99,PG,42.79,21,Documentary
"CUPBOARD SINNERS",29.99,2.99,R,106.77,23,Documentary
"DANCING FEVER",25.99,0.99,G,55.73,27,Documentary
"DEEP CRUSADE",20.99,4.99,PG-13,80.86,14,Documentary
"DOZEN LION",20.99,4.99,NC-17,36.93,7,Documentary
"DUFFEL APOCALYPSE",13.99,0.99,G,6.93,7,Documentary
"EGG IGBY",20.99,2.99,PG,105.79,21,Documentary
"EXPENDABLE STALLION",14.99,0.99,PG,97.72,28,Documentary
"FRENCH HOLIDAY",22.99,4.99,PG,102.83,17,Documentary
"HALLOWEEN NUTS",19.99,2.99,PG-13,35.90,10,Documentary
"HARDLY ROBBERS",15.99,2.99,R,15.96,4,Documentary
"HAWK CHILL",12.99,0.99,PG-13,15.93,7,Documentary
"HEAVYWEIGHTS BEAST",25.99,4.99,G,129.77,23,Documentary
"HOMEWARD CIDER",19.99,0.99,R,23.84,16,Documentary
"HUNTER ALTER",21.99,2.99,PG-13,24.95,5,Documentary
"INDEPENDENCE HOTEL",21.99,0.99,NC-17,38.81,19,Documentary
"INTOLERABLE INTENTIONS",20.99,4.99,PG-13,49.91,9,Documentary
"MADISON TRAP",11.99,2.99,R,76.85,15,Documentary
"MAJESTIC FLOATS",15.99,0.99,PG,43.83,17,Documentary
"METAL ARMAGEDDON",26.99,2.99,PG-13,103.75,25,Documentary
"MIDSUMMER GROUNDHOG",27.99,4.99,G,156.78,22,Documentary
"MIGHTY LUCK",13.99,2.99,PG,38.88,12,Documentary
"MOD SECRETARY",20.99,4.99,NC-17,61.89,11,Documentary
"MODERN DORADO",20.99,0.99,PG,49.85,15,Documentary
"NATIONAL STORY",19.99,2.99,NC-17,82.81,19,Documentary
"NEWSIES STORY",25.99,0.99,G,22.93,7,Documentary
"NORTH TEQUILA",9.99,4.99,NC-17,65.89,11,Documentary
"NOTORIOUS REUNION",9.99,0.99,NC-17,25.86,14,Documentary
"PACIFIC AMISTAD",27.99,0.99,G,62.76,24,Documentary
"PELICAN COMFORTS",17.99,4.99,PG,188.74,26,Documentary
"POCUS PULP",15.99,0.99,NC-17,43.74,26,Documentary
"PRINCESS GIANT",29.99,2.99,NC-17,142.74,27,Documentary
"QUILLS BULL",19.99,4.99,R,100.84,16,Documentary
"ROAD ROXANNE",12.99,4.99,R,130.81,19,Documentary
"SAGEBRUSH CLUELESS",28.99,2.99,G,91.84,16,Documentary
"SECRET GROUNDHOG",11.99,4.99,PG,116.79,21,Documentary
"SHIP WONDERLAND",15.99,2.99,R,47.85,15,Documentary
"SHOW LORD",24.99,4.99,PG-13,170.75,25,Documentary
"SMOKING BARBARELLA",13.99,0.99,PG-13,18.83,18,Documentary
"SPOILERS HELLFIGHTERS",26.99,0.99,G,20.90,10,Documentary
"STREAK RIDGEMONT",28.99,0.99,PG-13,24.84,16,Documentary
"THIN SAGEBRUSH",9.99,4.99,PG-13,73.89,11,Documentary
"UNITED PILOT",27.99,0.99,R,55.83,17,Documentary
"UNTOUCHABLES SUNRISE",11.99,2.99,NC-17,35.92,8,Documentary
"VIRGINIAN PLUTO",22.99,0.99,R,51.71,29,Documentary
"WAGON JAWS",17.99,2.99,PG,38.90,10,Documentary
"WARS PLUTO",15.99,2.99,G,42.90,10,Documentary
"WEDDING APOLLO",14.99,0.99,PG,81.76,24,Documentary
"WIFE TURN",27.99,4.99,NC-17,223.69,31,Documentary
"WRATH MILE",17.99,0.99,NC-17,23.86,14,Documentary
"YOUNG LANGUAGE",9.99,0.99,G,6.93,7,Documentary
"BEAUTY GREASE",28.99,4.99,G,132.78,22,Drama
"BEETHOVEN EXORCIST",26.99,0.99,PG-13,16.89,11,Drama
"BLADE POLISH",10.99,0.99,PG-13,34.79,22,Drama
"BRIGHT ENCOUNTERS",12.99,4.99,PG-13,92.87,13,Drama
"BUNCH MINDS",13.99,2.99,G,25.95,5,Drama
"CHILL LUCK",17.99,0.99,PG,32.78,22,Drama
"CHITTY LOCK",24.99,2.99,G,28.92,8,Drama
"CONEHEADS SMOOCHY",12.99,4.99,NC-17,136.75,25,Drama
"CONFESSIONS MAGUIRE",25.99,4.99,PG-13,75.86,14,Drama
"CONQUERER NUTS",14.99,4.99,G,99.84,16,Drama
"CRAFT OUTFIELD",17.99,0.99,NC-17,20.84,16,Drama
"DALMATIONS SWEDEN",25.99,0.99,PG,58.80,20,Drama
"DARKNESS WAR",24.99,2.99,NC-17,48.87,13,Drama
"DECEIVER BETRAYED",22.99,0.99,NC-17,25.79,21,Drama
"DESTINATION JERK",19.99,0.99,PG-13,31.92,8,Drama
"DIARY PANIC",20.99,2.99,G,27.91,9,Drama
"EDGE KISSING",9.99,4.99,NC-17,92.85,15,Drama
"ENCOUNTERS CURTAIN",20.99,0.99,NC-17,39.81,19,Drama
"GOLDFINGER SENSIBILITY",29.99,0.99,G,81.76,24,Drama
"GONE TROUBLE",20.99,2.99,R,35.90,10,Drama
"GREEDY ROOTS",14.99,0.99,R,15.86,14,Drama
"HANGING DEEP",18.99,4.99,G,113.81,19,Drama
"HAROLD FRENCH",10.99,0.99,NC-17,9.92,8,Drama
"HARRY IDAHO",18.99,4.99,PG-13,195.70,30,Drama
"HOBBIT ALIEN",27.99,0.99,PG-13,81.69,31,Drama
"HUNCHBACK IMPOSSIBLE",28.99,4.99,PG-13,134.80,20,Drama
"JACKET FRISCO",16.99,2.99,PG-13,77.82,18,Drama
"KWAI HOMEWARD",25.99,0.99,PG-13,50.77,23,Drama
"LEBOWSKI SOLDIERS",17.99,2.99,PG-13,72.79,21,Drama
"LIES TREATMENT",28.99,4.99,NC-17,147.73,27,Drama
"LUCK OPUS",21.99,2.99,NC-17,30.90,10,Drama
"MOB DUFFEL",25.99,0.99,G,34.88,12,Drama
"NECKLACE OUTBREAK",21.99,0.99,PG,43.85,15,Drama
"NOTTING SPEAKEASY",19.99,0.99,PG-13,13.90,10,Drama
"ORIENT CLOSER",22.99,2.99,R,80.83,17,Drama
"PATHS CONTROL",9.99,4.99,PG,81.90,10,Drama
"PAYCHECK WAIT",27.99,4.99,PG-13,101.84,16,Drama
"PITY BOUND",19.99,4.99,NC-17,153.74,26,Drama
"QUEEN LUKE",22.99,4.99,PG,136.78,22,Drama
"RACER EGG",19.99,2.99,NC-17,57.82,18,Drama
"REUNION WITCHES",26.99,0.99,R,53.80,20,Drama
"ROCKY WAR",17.99,4.99,PG-13,107.84,16,Drama
"SAINTS BRIDE",11.99,2.99,G,31.92,8,Drama
"SAVANNAH TOWN",25.99,0.99,PG-13,28.88,12,Drama
"SCORPION APOLLO",23.99,4.99,NC-17,168.77,23,Drama
"SEA VIRGIN",24.99,2.99,PG,97.78,22,Drama
"SEATTLE EXPECATIONS",18.99,4.99,PG-13,163.75,24,Drama
"SHOOTIST SUPERFLY",22.99,0.99,PG-13,37.76,24,Drama
"SLACKER LIAISONS",29.99,4.99,R,91.83,17,Drama
"SOMETHING DUCK",17.99,4.99,NC-17,127.81,19,Drama
