city,"Average Rental",Rank
Okinawa,4.511739,152
Isesaki,4.511739,152
Lincoln,4.510000,154
al-Manama,4.510000,154
Songkhla,4.505152,156
Salamanca,4.504286,157
Najafabad,4.504286,157
Bijapur,4.502821,159
"Citt del Vaticano",4.490000,160
al-Hawiya,4.490000,160
"Dos Quebradas",4.490000,160
Smolensk,4.490000,160
"Ciudad del Este",4.490000,160
"Angra dos Reis",4.490000,160
"So Leopoldo",4.490000,160
"So Bernardo do Campo",4.490000,160
"Novi Sad",4.490000,160
Benguela,4.470000,169
Fuyu,4.460588,170
Lancaster,4.456667,171
Dallas,4.454286,172
Callao,4.451538,173
Sagamihara,4.448333,174
Tangail,4.447143,175
Aden,4.441613,176
Parbhani,4.441613,176
Gorontalo,4.440000,178
"Ourense (Orense)",4.440000,178
Iwakuni,4.438276,180
Lengshuijiang,4.434444,181
Pudukkottai,4.434444,181
Arecibo,4.431176,183
al-Qatif,4.430000,184
Huixquilucan,4.423333,185
"San Felipe del Progreso",4.423333,185
Avellaneda,4.423333,185
Lilongwe,4.418571,188
"Ocumare del Tuy",4.418571,188
Kaliningrad,4.418571,188
Batman,4.414242,191
Lipetsk,4.413077,192
Ipoh,4.413077,192
"Richmond Hill",4.411053,194
Tieli,4.411053,194
Bydgoszcz,4.406667,196
Jhansi,4.403793,197
Miyakonojo,4.403793,197
Tiefa,4.403793,197
Chatsworth,4.401765,200
Carmen,4.399091,201
Owo,4.397407,202
Sharja,4.397407,202
Qinhuangdao,4.396250,204
Bern,4.390000,205
Kisumu,4.390000,205
Hiroshima,4.390000,205
Arlington,4.390000,205
Florencia,4.390000,205
Sokoto,4.390000,205
Naju,4.383939,211
Warren,4.382857,212
Ivanovo,4.381304,213
Tabriz,4.377097,214
Dayton,4.374615,215
Acua,4.374615,215
"Garden Grove",4.374615,215
Alessandria,4.370952,218
Jaroslavl,4.370952,218
Okara,4.370952,218
Hunuco,4.369310,221
Cuernavaca,4.369310,221
Karnal,4.361429,223
Pontianak,4.361429,223
Effon-Alaiye,4.360370,225
Tanshui,4.360370,225
Yuncheng,4.356667,227
Pingxiang,4.353636,228
Gatineau,4.353636,228
"La Paz",4.353636,228
Witten,4.350000,231
Czestochowa,4.350000,231
Firozabad,4.337826,233
Bamenda,4.337826,233
"La Romana",4.337826,233
Kanazawa,4.337826,233
Adana,4.336154,237
"Sungai Petani",4.333750,238
Mannheim,4.332857,239
Baybay,4.323333,240
Pathankot,4.323333,240
Salinas,4.323333,240
Patiala,4.323333,240
ostka,4.323333,240
Haining,4.323333,240
Banjul,4.323333,240
Shivapuri,4.308182,247
"Jalib al-Shuyukh",4.297692,248
Sivas,4.297692,248
Pereira,4.294348,250
Sambhal,4.294348,250
Atlixco,4.293030,252
Binzhou,4.293030,252
Mukateve,4.290000,254
Serpuhov,4.290000,254
Kuching,4.286296,256
Jelets,4.281667,257
Kolpino,4.279474,258
Enshi,4.275714,259
Portoviejo,4.275714,259
Cabuyao,4.275714,259
Lublin,4.275714,259
Konotop,4.275714,259
al-Ayn,4.270000,264
"Palghat (Palakkad)",4.265862,265
Mahajanga,4.262727,266
Oshawa,4.262727,266
Vinh,4.262727,266
Uttarpara-Kotrung,4.259231,269
Xinxiang,4.256667,270
Malm,4.254706,271
Zanzibar,4.249259,272
Southend-on-Sea,4.240000,273
Boksburg,4.240000,273
Salzburg,4.240000,273
Dhaka,4.240000,273
NDjamna,4.240000,273
Duisburg,4.232424,278
Kakamigahara,4.231379,279
Mandaluyong,4.231379,279
Hidalgo,4.230000,281
"Kansas City",4.230000,281
Allende,4.230000,281
Chungho,4.230000,281
Rizhao,4.228095,285
Merlo,4.223333,286
Etawah,4.220769,287
Usak,4.218571,288
Touliu,4.212222,289
Bergamo,4.212222,289
Bhopal,4.208750,291
"La Plata",4.208750,291
"Nha Trang",4.208750,291
Leshan,4.208750,291
"Citrus Heights",4.204286,295
Basel,4.204286,295
Po,4.204286,295
Fontana,4.202121,298
Tarlac,4.200526,299
"Varanasi (Benares)",4.198333,300
Moscow,4.195882,301
Ciomas,4.195882,301
Hubli-Dharwad,4.190000,303
Kalisz,4.190000,303
Celaya,4.182308,305
Cheju,4.180476,306
Asuncin,4.180476,306
Tanza,4.180476,306
Tarsus,4.177500,309
Rustenburg,4.175185,310
Kaduna,4.171818,311
Ashdod,4.171818,311
Braslia,4.171818,311
Tokat,4.166471,314
Nanyang,4.163913,315
"Aparecida de Goinia",4.163913,315
Roanoke,4.163913,315
Guadalajara,4.163913,315
Sucre,4.163913,315
Zhezqazghan,4.162414,320
Faaa,4.156667,321
Cavite,4.156667,321
Suihua,4.156667,321
Haiphong,4.150000,324
Yuzhou,4.150000,324
Sanya,4.150000,324
Uijongbu,4.146250,327
Klerksdorp,4.143846,328
Tuguegarao,4.143846,328
Pemalang,4.138148,330
Iwatsuki,4.138148,330
Mosul,4.138148,330
Hami,4.132857,333
Madiun,4.132857,333
Graz,4.127931,335
Valencia,4.126364,336
Balikesir,4.125135,337
Brindisi,4.123333,338
Qalyub,4.120435,339
"Allappuzha (Alleppey)",4.115000,340
Kanchrapara,4.115000,340
Zapopan,4.107647,342
Fengshan,4.107647,342
Nador,4.101111,344
Ktahya,4.101111,344
Tabora,4.101111,344
Nukualofa,4.101111,344
Beira,4.098108,348
Vaduz,4.097143,349
Trshavn,4.097143,349
Paarl,4.097143,349
Rockford,4.097143,349
Bhimavaram,4.093448,353
Davao,4.086774,354
Hoshiarpur,4.085238,355
Fukuyama,4.083750,356
"Boa Vista",4.083750,356
Kilis,4.080909,358
Kitwe,4.080909,358
"Siliguri (Shiliguri)",4.078235,360
Amersfoort,4.076957,361
Chiayi,4.073333,362
Hsichuh,4.073333,362
Springs,4.070000,364
Ondo,4.070000,364
"Almirante Brown",4.070000,364
Baku,4.064074,367
Johannesburg,4.064074,367
Kamjanets-Podilskyi,4.058966,369
Baicheng,4.058966,369
Satna,4.056667,371
Toulouse,4.052500,372
Lapu-Lapu,4.052500,372
Nuuk,4.048824,374
"Pachuca de Soto",4.045556,375
"Dhule (Dhulia)",4.035455,376
Abha,4.031667,377
Ziguinchor,4.030000,378
Kamarhati,4.028462,379
Tabuk,4.028462,379
"San Juan Bautista Tuxtepec",4.028462,379
Batna,4.025714,382
Esfahan,3.990000,383
Liepaja,3.990000,383
Shikarpur,3.990000,383
Zalantun,3.990000,383
Jastrzebie-Zdrj,3.990000,383
Nagaon,3.990000,383
Jinchang,3.990000,383
Bhusawal,3.990000,383
Taizz,3.990000,383
Tambaram,3.990000,383
Sorocaba,3.990000,383
Jamalpur,3.990000,383
Rampur,3.990000,383
"Addis Abeba",3.990000,383
Brest,3.990000,383
Mwanza,3.990000,383
Shaoguan,3.990000,383
Southport,3.990000,383
"Jos Azueta",3.990000,383
Weifang,3.990000,383
Sullana,3.990000,383
Aurora,3.970000,404
Lhokseumawe,3.960588,405
Lima,3.958750,406
Greensboro,3.958750,406
Datong,3.957742,408
Meixian,3.954286,409
Kurgan,3.954286,409
Bilbays,3.954286,409
Ljubertsy,3.952963,412
Escobar,3.951538,413
Jaipur,3.950000,414
Higashiosaka,3.950000,414
Jakarta,3.948333,416
s-Hertogenbosch,3.946522,417
Ciparay,3.946522,417
"Grand Prairie",3.942381,419
Syktyvkar,3.940000,420
Udine,3.937368,421
Hagonoy,3.934444,422
Korolev,3.925484,423
Dadu,3.925484,423
"Pak Kret",3.923333,425
Jinzhou,3.923333,425
Cuman,3.921034,427
"Nabereznyje Telny",3.921034,427
"Valle de la Pascua",3.918571,429
Akishima,3.918571,429
"Augusta-Richmond County",3.915926,431
"Vicente Lpez",3.913077,432
Oulu,3.913077,432
Tama,3.913077,432
Lubumbashi,3.913077,432
Shimonoseki,3.906667,436
"guas Lindas de Gois",3.906667,436
Masqat,3.903043,438
Idfu,3.903043,438
Ezhou,3.903043,438
Ahmadnagar,3.899091,441
"El Fuerte",3.899091,441
Halle/Saale,3.893226,443
Jaffna,3.890000,444
"Santiago de Compostela",3.890000,444
Soshanguve,3.882857,446
Sanaa,3.874615,447
Emmen,3.874615,447
Bchar,3.870000,449
Kingstown,3.870000,449
Hamilton,3.865000,451
Toulon,3.865000,451
Changzhou,3.865000,451
Hanoi,3.860968,454
Mardan,3.856667,455
Nagareyama,3.856667,455
Tartu,3.856667,455
Kamakura,3.853636,458
Gijn,3.853636,458
Szkesfehrvr,3.852069,460
Ranchi,3.847143,461
"Rio Claro",3.841852,462
Ponce,3.841852,462
Namibe,3.841852,462
Monclova,3.836154,465
"Charlotte Amalie",3.833750,466
Crdoba,3.830000,467
Zaria,3.830000,467
Eskisehir,3.830000,467
Ikerre,3.827838,470
Kimchon,3.823333,471
Kumbakonam,3.823333,471
Manchester,3.823333,471
Xintai,3.823333,471
Bucuresti,3.817586,475
Bradford,3.816087,476
Lausanne,3.808182,477
Nantou,3.805789,478
Bislig,3.799524,479
"El Monte",3.799524,479
Battambang,3.797692,481
Tychy,3.795556,482
Changhwa,3.794878,483
Gandhinagar,3.779474,484
Shenzhen,3.779474,484
Botosani,3.777879,486
Kabul,3.767778,487
Sunnyvale,3.764194,488
Uluberia,3.764194,488
Beni-Mellal,3.762727,490
London,3.760833,491
Caracas,3.759231,492
Compton,3.759231,492
Laohekou,3.759231,492
"Tel Aviv-Jaffa",3.756667,495
Monywa,3.756667,495
Chisinau,3.754706,497
Urawa,3.754706,497
Anpolis,3.750000,499
Buenaventura,3.750000,499
Kurashiki,3.740000,501
Chandrapur,3.740000,501
Novoterkassk,3.740000,501
Zeleznogorsk,3.740000,501
Gulbarga,3.726842,505
Alvorada,3.720769,506
Myingyan,3.717273,507
"A Corua (La Corua)",3.714138,508
Bayugan,3.710000,509
Sasebo,3.708750,510
Tongliao,3.708750,510
"Yamuna Nagar",3.704286,512
"Vitria de Santo Anto",3.704286,512
Haldia,3.699677,514
Cuautla,3.699677,514
Amroha,3.698333,516
Iligan,3.693704,517
Pune,3.690000,518
Oyo,3.690000,518
Shanwei,3.690000,518
"Saint Louis",3.685652,521
"Shahr-e Kord",3.685652,521
Junan,3.670000,523
Halifax,3.670000,523
Pyongyang,3.667419,525
Liaocheng,3.666471,526
Torren,3.656667,527
Saarbrcken,3.656667,527
"El Alto",3.656667,527
"Poos de Caldas",3.646250,530
Atinsk,3.645172,531
Dundee,3.643846,532
Matsue,3.640000,533
Lungtan,3.637059,534
Fuzhou,3.632857,535
Dzerzinsk,3.626364,536
Peoria,3.623333,537
Salala,3.619630,538
Ueda,3.615000,539
"Berhampore (Baharampur)",3.609048,540
Xiangfan,3.607647,541
Kermanshah,3.605385,542
"Santo Andr",3.601111,543
Araatuba,3.597143,544
"Le Mans",3.590000,545
Tafuna,3.590000,545
Huaian,3.590000,545
"San Felipe de Puerto Plata",3.590000,545
Katihar,3.590000,545
Garland,3.582593,550
Jurez,3.550000,551
Balurghat,3.528462,552
"Stara Zagora",3.528462,552
Tegal,3.516316,554
Koriyama,3.513810,555
Yingkou,3.511739,556
"Munger (Monghyr)",3.490000,557
Jodhpur,3.490000,557
Izumisano,3.490000,557
Gingoog,3.490000,557
Patras,3.454286,561
Bratislava,3.451538,562
Surakarta,3.451538,562
"San Miguel de Tucumn",3.448333,564
Arak,3.434444,565
Laiwu,3.434444,565
"Phnom Penh",3.434444,565
Tandil,3.427500,568
Sousse,3.424783,569
Botshabelo,3.418571,570
Inegl,3.413077,571
Tsaotun,3.411053,572
Mogiljov,3.406667,573
Zaoyang,3.399091,574
Tallahassee,3.390000,575
Pavlodar,3.381304,576
"Valle de Santiago",3.365000,577
"Abu Dhabi",3.365000,577
Laredo,3.347143,579
Luzinia,3.337826,580
Ezeiza,3.337826,580
Taguig,3.323333,582
Linz,3.275714,583
Tete,3.267778,584
Hohhot,3.254706,585
Yaound,3.248065,586
"Bandar Seri Begawan",3.247143,587
Teboksary,3.207391,588
Barcelona,3.180476,589
Matamoros,3.120435,590
Cianjur,3.105385,591
Korla,3.097143,592
Vilnius,3.073333,593
Nezahualcyotl,3.056667,594
Daxian,3.050606,595
"South Hill",3.047143,596
al-Qadarif,3.042632,597
